ospi_district,ospi_school,match_type,match_score,nces_school_id,nces_school_name
Bainbridge Island,Bainbridge High School,exact,1.0,530033000043,Bainbridge High School
Bainbridge Island,Bainbridge Special Education Services,exact,1.0,530033003113,Bainbridge Special Education Services
Bainbridge Island,Capt Johnston Blakely Elem Sch,exact,1.0,530033000045,Capt Johnston Blakely Elem Sch
Bainbridge Island,Eagle Harbor High School,exact,1.0,530033003110,Eagle Harbor High School
Bainbridge Island,Halilts Elementary School,exact,1.0,530033000044,Halilts Elementary School
Bainbridge Island,Mosaic Home Education Partnership,exact,1.0,530033002802,Mosaic Home Education Partnership
Bainbridge Island,Odyssey Multiage Program,exact,1.0,530033002523,Odyssey Multiage Program
Bainbridge Island,Ordway Elementary,exact,1.0,530033000047,Ordway Elementary
Bainbridge Island,Sonoji Sakai Intermediate,exact,1.0,530033002734,Sonoji Sakai Intermediate
Bainbridge Island,Woodward Middle School,exact,1.0,530033002452,Woodward Middle School
Bellevue,Ardmore Elementary School,exact,1.0,530039000058,Ardmore Elementary School
Bellevue,Bellevue Big Picture School,exact,1.0,530039003354,Bellevue Big Picture School
Bellevue,Bellevue Digital Discovery,exact,1.0,530039003883,Bellevue Digital Discovery
Bellevue,Bellevue High School,exact,1.0,530039000060,Bellevue High School
Bellevue,Bellevue Open Doors Reengagement,exact,1.0,530039003462,Bellevue Open Doors Reengagement
Bellevue,Bennett Elementary School,exact,1.0,530039000062,Bennett Elementary School
Bellevue,Cherry Crest Elementary School,exact,1.0,530039000063,Cherry Crest Elementary School
Bellevue,Chinook Middle School,exact,1.0,530039000064,Chinook Middle School
Bellevue,Clyde Hill Elementary,exact,1.0,530039000065,Clyde Hill Elementary
Bellevue,Enatai Elementary School,exact,1.0,530039000067,Enatai Elementary School
Bellevue,Highland Middle School,exact,1.0,530039000068,Highland Middle School
Bellevue,Interlake Senior High School,exact,1.0,530039000072,Interlake Senior High School
Bellevue,International School,exact,1.0,530039003149,International School
Bellevue,Jing Mei Elementary School,exact,1.0,530039003455,Jing Mei Elementary School
Bellevue,Lake Hills Elementary,exact,1.0,530039000075,Lake Hills Elementary
Bellevue,Medina Elementary School,exact,1.0,530039000076,Medina Elementary School
Bellevue,Newport Heights Elementary,exact,1.0,530039000077,Newport Heights Elementary
Bellevue,Newport Senior High School,exact,1.0,530039000078,Newport Senior High School
Bellevue,Odle Middle School,exact,1.0,530039000079,Odle Middle School
Bellevue,Phantom Lake Elementary,exact,1.0,530039000082,Phantom Lake Elementary
Bellevue,Puesta del Sol Elementary School,exact,1.0,530039000090,Puesta del Sol Elementary School
Bellevue,Sammamish Senior High,exact,1.0,530039000085,Sammamish Senior High
Bellevue,Sherwood Forest Elementary,exact,1.0,530039000086,Sherwood Forest Elementary
Bellevue,Somerset Elementary School,exact,1.0,530039000087,Somerset Elementary School
Bellevue,Spiritridge Elementary School,exact,1.0,530039000088,Spiritridge Elementary School
Bellevue,Stevenson Elementary,exact,1.0,530039000089,Stevenson Elementary
Bellevue,Tillicum Middle School,exact,1.0,530039000093,Tillicum Middle School
